"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 13, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 19, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"Jun 29, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Jun 26, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 21, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 13, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 11, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"May 10, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"May 9, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","2 keywords researched a total of 3 times by 2 anonymous users","sitecore, taxonomy",2,3,2,"May 4, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 7 times by 1 anonymous user","sitecore",1,7,1,"May 2, 2023",,
"/discover/account/detail/4418bcd15bb4c79/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sub - Zero","United States - subzero-wolf.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 29, 2023",,
