"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 14, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 13, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 30, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 18, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 15, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Jul 13, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","2 keywords researched a total of 4 times by 2 anonymous users","dam europe, smartsheet",2,4,2,"Jun 26, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 24, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 22, 2023"
"/discover/account/detail/ce331bddbf9d4fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Swire Coca - Cola","United States - swirecc.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023"
