"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 28, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 27, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 3 times by 2 anonymous users","smartsheet, content hub",2,3,2,"Jul 23, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jul 22, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 3 times by 2 anonymous users","sitecore, smartsheet",2,3,2,"Jul 20, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jul 18, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Jul 17, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 16, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 6 times by 2 anonymous users","smartsheet, marketing performance",2,6,2,"Jul 15, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 4 times by 3 anonymous users","widen, smartsheet",2,4,3,"Jul 14, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 4 times by 1 anonymous user","Informatica",1,4,1,"Jul 8, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"Jul 1, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 21, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 19, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 3, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"May 30, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"May 24, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 4 times by 2 anonymous users","sitecore, taxonomy",2,4,2,"May 23, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 17, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"May 16, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","best dam",1,2,1,"May 7, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 5 times by 2 anonymous users","smartsheet, hyland",2,5,2,"May 1, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 30, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 29, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 28, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Apr 27, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","5 keywords researched a total of 5 times by 4 anonymous users","dam europe, smartsheet, smartsheet pricing, workflow automation, marketing performance",5,5,4,"Apr 26, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 25, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Apr 23, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 22, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Apr 17, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Apr 16, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 14, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Apr 8, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, aem",2,2,2,"Apr 6, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 4, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, best dam",2,2,2,"Mar 31, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Mar 27, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Mar 17, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 6 times by 1 anonymous user","pim",1,6,1,"Mar 16, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 9, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 2, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 5 times by 2 anonymous users","hyland",1,5,2,"Mar 1, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",1,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Feb 28, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",3,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",7,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",5,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Feb 23, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",1,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",1,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Feb 19, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",1,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Feb 18, 2023",,
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",3,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",3,1
"/discover/account/detail/2822cb610bcf7d2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Sysco Corporation","United States - sysco.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",3,1
