"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 12, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",1,2,1,"Aug 11, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jul 26, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 27, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","2 keywords researched a total of 2 times by 2 anonymous users","best dam, taxonomy",2,2,2,"Jun 26, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 14, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 6, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 5, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 24, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 19, 2023"
"/discover/account/detail/be5060b88617fec/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TECHTRONIC INDUSTRIES CO., LTD.","United States - ttigroup.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 15, 2023"
