"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 22, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","asset performance data",1,1,1,"Jul 18, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 12, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 9 times by 1 anonymous user","content intelligence",1,9,1,"Jul 9, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Jun 25, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"Jun 17, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jun 2, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 23, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 18, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 12, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 9, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"May 6, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 3, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 4, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 27, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 2 times by 1 anonymous user","brand integrity",1,2,1,"Mar 24, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 27, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 25, 2023"
"/discover/account/detail/0bec9b2f9d8ff6b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tektronix","United States - tek.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Feb 18, 2023"
