"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 2, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 10, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 2, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 26, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jun 22, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","2 keywords researched a total of 3 times by 2 anonymous users","dam new york, taxonomy",2,3,2,"Jun 19, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 11, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 25, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"May 24, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"May 19, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 3 times by 1 anonymous user","pim",1,3,1,"May 17, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 16, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"May 14, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 3, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 4, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Apr 3, 2023"
"/discover/account/detail/07d1de4e199954f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Terminix Global Holdings, Inc.","United States - terminix.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Mar 30, 2023"
