"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 10, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 2 times by 1 anonymous user","product information management, pim",2,2,1,"Aug 8, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 5, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Aug 4, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 2 times by 1 anonymous user","content delivery network",1,2,1,"Aug 3, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 3 times by 2 anonymous users","brand integrity, taxonomy",2,3,2,"Jul 31, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Jul 27, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 25, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, content intelligence",2,2,2,"Jul 24, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","content intelligence",1,1,1,"Jul 23, 2023",,,,,
