"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 13, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 11, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, taxonomy",2,2,2,"Aug 10, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Aug 8, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 5, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Aug 4, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset manager",1,2,1,"Jul 26, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 17, 2023",,
"/discover/account/detail/4030063d244786d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","The Coca - Cola Company","United States - coca-colacompany.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 13, 2023",,
