"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","3 keywords researched a total of 8 times by 3 anonymous users","aem, widen, marketing performance",3,8,3,"Aug 14, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","3 keywords researched a total of 7 times by 3 anonymous users","aem, best dam, content hub",3,7,3,"Aug 13, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","1 keyword researched a total of 2 times by 2 anonymous users","taxonomy",1,2,2,"Aug 11, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, hyland",2,2,2,"Aug 10, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 9, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","2 keywords researched a total of 2 times by 2 anonymous users","canto, taxonomy",2,2,2,"Aug 8, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Aug 7, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Aug 6, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","1 keyword researched a total of 2 times by 2 anonymous users","content hub",1,2,2,"Aug 5, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","4 keywords researched a total of 4 times by 4 anonymous users","aem, widen, Informatica, content hub",4,4,4,"Aug 4, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","2 keywords researched a total of 2 times by 2 anonymous users","content hub, marketing performance",2,2,2,"Aug 2, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","2 keywords researched a total of 3 times by 3 anonymous users","aem, marketing performance",2,3,3,"Aug 1, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","1 keyword researched a total of 4 times by 1 anonymous user","opentext",1,4,1,"Jul 30, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 29, 2023",,
"/discover/account/detail/f448f6fe1c5f950/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Thermo Fisher Scientific","United States - thermofisher.com","3 keywords researched a total of 5 times by 4 anonymous users","smartsheet, hyland, sitecore",3,5,4,"Jul 28, 2023",,
