"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 29, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 11, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 19, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 1, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Mar 27, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 16, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 2, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Mar 1, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 keyword researched a total of 4 times by 1 anonymous user","workflow automation",1,4,1,"Feb 23, 2023",,
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",1,1
"/discover/account/detail/6d648395a449e57/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TiVo","United States - tivo.com","9 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",9,1
