"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 1, 2023",,
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Apr 11, 2023",,
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","1 keyword researched a total of 2 times by 1 anonymous user","opentext",1,2,1,"Apr 3, 2023",,
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 20, 2023",,
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 5, 2023",,
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","9 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",9,1
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",2,1
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 21, 2023",4,1
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 20, 2023",4,1
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",3,1
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",4,1
"/discover/account/detail/add44dfac58b23b/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Tokyo Electron Ltd","United States - tel.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",1,1
