"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","1 keyword researched a total of 4 times by 1 anonymous user","aem",1,4,1,"Aug 8, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 7, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","1 keyword researched a total of 4 times by 1 anonymous user","aem",1,4,1,"Aug 3, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 28, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jun 22, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 15, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jun 13, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","2 keywords researched a total of 2 times by 2 anonymous users","dam europe, marketing performance",2,2,2,"Jun 6, 2023"
"/discover/account/detail/3b6ad5c7f411c7c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toro Company","United States - toro.com","2 keywords researched a total of 3 times by 3 anonymous users","Informatica, canto",2,3,3,"Jun 2, 2023"
