"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Aug 10, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jul 23, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","2 keywords researched a total of 7 times by 2 anonymous users","hyland, marketing performance",2,7,2,"Jul 20, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 6, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 29, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 3 times by 3 anonymous users","dam europe",1,3,3,"Jun 26, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jun 22, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 5 times by 1 anonymous user","Informatica",1,5,1,"Jun 21, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","2 keywords researched a total of 38 times by 2 anonymous users","Informatica, marketing performance",2,38,2,"Jun 19, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jun 16, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 14, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jun 12, 2023",,
"/discover/account/detail/077e0b6df2dddca/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Toshiba","United States - toshiba.com","1 keyword researched a total of 1 time by 1 anonymous user","dam assessment",1,1,1,"Jun 9, 2023",,
