"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 10, 2023",,
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jun 26, 2023",,
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 keyword researched a total of 5 times by 1 anonymous user","hyland",1,5,1,"May 3, 2023",,
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 29, 2023",,
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 21, 2023",,
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Apr 7, 2023",,
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"Apr 3, 2023",,
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023",,
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 18, 2023",1,1
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",1,1
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 16, 2023",5,1
"/discover/account/detail/b9cc2d694418a63/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Trident Seafoods Corporation","United States - tridentseafoods.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 15, 2023",3,1
