"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 27, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Jul 24, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jul 21, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jul 14, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","2 keywords researched a total of 2 times by 2 anonymous users","dam new york, dam manager",2,2,2,"Jul 11, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 10, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jun 22, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 6, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 23, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 21, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 19, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"May 10, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","2 keywords researched a total of 7 times by 1 anonymous user","opentext, forrester wave",2,7,1,"May 6, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 8 times by 1 anonymous user","smartsheet",1,8,1,"May 2, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 4 times by 1 anonymous user","smartsheet",1,4,1,"Apr 29, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 20, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Apr 4, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Mar 26, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 15 times by 1 anonymous user","aem",1,15,1,"Mar 25, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 19 times by 1 anonymous user","aem",1,19,1,"Mar 24, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Mar 17, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Mar 14, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","2 keywords researched a total of 3 times by 3 anonymous users","widen, smartsheet",2,3,3,"Feb 28, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Feb 27, 2023"
"/discover/account/detail/e53af9de423330d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TriMark USA","United States - trimarkusa.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Feb 25, 2023"
