"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 11, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 10, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","intelligent content",1,1,1,"Aug 8, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Aug 7, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, taxonomy",2,2,2,"Aug 6, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 3 times by 2 anonymous users","sitecore",1,3,2,"Aug 3, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Aug 2, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","2 keywords researched a total of 7 times by 2 anonymous users","canto, workflow automation",2,7,2,"Aug 1, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","2 keywords researched a total of 19 times by 2 anonymous users","hyland, marketing performance",2,19,2,"Jul 31, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 9 times by 1 anonymous user","marketing performance",1,9,1,"Jul 30, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 12 times by 1 anonymous user","marketing performance",1,12,1,"Jul 29, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","2 keywords researched a total of 3 times by 3 anonymous users","sitecore, marketing performance",2,3,3,"Jul 28, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jul 27, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","2 keywords researched a total of 3 times by 2 anonymous users","dam new york, hyland",2,3,2,"Jul 23, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Jul 22, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 17, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 4 times by 4 anonymous users","widen",1,4,4,"Jul 15, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","3 keywords researched a total of 5 times by 5 anonymous users","hyland, widen, taxonomy",3,5,5,"Jul 14, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 9, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 4, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 29, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 28, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, taxonomy",2,2,2,"Jun 22, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 1, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Apr 25, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 1, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Mar 28, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Mar 10, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Feb 28, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","2 keywords researched a total of 22 times by 3 anonymous users","digital asset management trends, digital asset management",2,22,3,"Feb 23, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 3 times by 1 anonymous user","workflow automation",1,3,1,"Feb 20, 2023"
"/discover/account/detail/7e1f9b02cfa7fa8/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","TruGreen","United States - trugreen.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 15, 2023"
