"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Aug 6, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 19, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 5, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 26, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Jun 11, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 6 times by 1 anonymous user","smartsheet",1,6,1,"Apr 28, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 5 times by 1 anonymous user","smartsheet",1,5,1,"Apr 27, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Apr 15, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 14, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Mar 21, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Feb 28, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Feb 20, 2023"
"/discover/account/detail/c4e6c52b219a6b3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","UTZ Brands, Inc.","United States - utzsnacks.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Feb 17, 2023"
