"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"Aug 10, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 25, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 24, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 23, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 21, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jul 20, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 7, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 6, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","2 keywords researched a total of 2 times by 2 anonymous users","product information management, sitecore",2,2,2,"Jun 26, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 4 times by 3 anonymous users","smartsheet",1,4,3,"Jun 13, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 12, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 6, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 30, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 24, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"May 19, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"May 18, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"May 17, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 12, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 11, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","2 keywords researched a total of 2 times by 2 anonymous users","pim, content hub",2,2,2,"May 10, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 6, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"May 4, 2023"
"/discover/account/detail/288a5b65f0a6597/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vertiv","United States - vertiv.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 21, 2023"
