"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Aug 5, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 2 times by 2 anonymous users","dam europe",1,2,2,"Jun 26, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 13, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 25, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 28, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 25, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 1, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 21, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Mar 7, 2023"
"/discover/account/detail/4fc2e3b742e2042/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vishay Intertechnology, Inc.","United States - vishay.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Feb 23, 2023"
