"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Aug 9, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 7, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"Jul 25, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 24, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"Jul 22, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 21, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jul 13, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 18, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Feb 27, 2023"
"/discover/account/detail/5a6a0fa699e8898/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Vollrath","United States - vollrathco.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Feb 19, 2023"
