"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 6, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 4, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Aug 3, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 25, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 13, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Jun 12, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 31, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 7, 2023",,
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",2,1
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",1,1
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 23, 2023",1,1
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 22, 2023",7,1
"/discover/account/detail/a42e8497d72e9fd/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","W.C. Bradley Co.","United States - wcbradley.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 17, 2023",1,1
