"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 28, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 2 times by 1 anonymous user","smartsheet",1,2,1,"Jul 24, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 3 times by 1 anonymous user","smartsheet",1,3,1,"Jul 17, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 6, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 3, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 27, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 23, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 22, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 21, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","2 keywords researched a total of 2 times by 2 anonymous users","digital asset management, content hub",2,2,2,"Jun 20, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 4 times by 1 anonymous user","dam new york",1,4,1,"Jun 19, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 16, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jun 9, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 12 times by 3 anonymous users","dam europe",1,12,3,"Jun 6, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 5 times by 2 anonymous users","aem",1,5,2,"Jun 5, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 26, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 3 times by 1 anonymous user","widen",1,3,1,"May 21, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 16, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 4, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Apr 16, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 14, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 6, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 29, 2023",,
"/discover/account/detail/35785331fa5ac4f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Waters Corporation","United States - waters.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 28, 2023",,
