"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 21, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 18, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 6, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jun 19, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 23, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"May 15, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 5, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 30, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",1,1,1,"Mar 8, 2023"
"/discover/account/detail/b9a21b50230b8fb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wayne Farms","United States - waynefarms.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Feb 27, 2023"
