"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 12, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jul 11, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 7, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 2, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","intelligent content",1,1,1,"Jun 20, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 14, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"May 21, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 5 times by 1 anonymous user","taxonomy",1,5,1,"May 4, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 4 times by 1 anonymous user","digital asset management",1,4,1,"Apr 25, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 24, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 18, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 5, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 16 times by 1 anonymous user","hyland",1,16,1,"Mar 27, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 16, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Mar 9, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 4 times by 1 anonymous user","workflow automation",1,4,1,"Mar 7, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, canto",2,3,2,"Mar 5, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","2 keywords researched a total of 2 times by 2 anonymous users","content hub, taxonomy",2,2,2,"Mar 4, 2023",,
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/effc1ecc300cde2/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Weight Watchers","United States - weightwatchers.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Mar 2, 2023",,
