"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 20, 2023",,
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 9, 2023",,
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Apr 20, 2023",,
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","1 keyword researched a total of 4 times by 1 anonymous user","marketing performance",1,4,1,"Apr 6, 2023",,
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Mar 14, 2023",,
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",1,1
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",1,1
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",2,1
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",1,3,1,"Feb 22, 2023",,
"/discover/account/detail/4d18b55ac389dbf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wells Enterprises","United States - bluebunny.com","2 keywords researched a total of 4 times by 2 anonymous users","widen, canto",2,4,2,"Feb 21, 2023",,
