"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 4 times by 1 anonymous user","hyland",1,4,1,"Aug 4, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 22, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 3 times by 1 anonymous user","Informatica",1,3,1,"Jun 5, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 5 times by 1 anonymous user","Informatica",1,5,1,"May 31, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 28, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 20, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 15, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 6 times by 1 anonymous user","Informatica",1,6,1,"May 7, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 5 times by 1 anonymous user","Informatica",1,5,1,"Apr 21, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Apr 9, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 4, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Mar 16, 2023",,
"/discover/account/detail/fadf2062e7e1344/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wilsonart","United States - wilsonart.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",4,1
