"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 12, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 3, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"Jun 30, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Jun 26, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 23, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 22, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Apr 26, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","2 keywords researched a total of 2 times by 2 anonymous users","dam europe, content hub",2,2,2,"Apr 25, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Apr 16, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Mar 30, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Mar 13, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 11, 2023"
"/discover/account/detail/49a82664b6621bf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wolverine World Wide, Inc.","United States - wolverineworldwide.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Feb 25, 2023"
