"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 6, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 13, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 26, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 5 times by 1 anonymous user","dam new york",1,5,1,"Jun 19, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 17, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 14, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 12, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 6, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jun 1, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 15, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Mar 31, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 9, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management, digital asset management trends",2,2,1,"Feb 22, 2023"
"/discover/account/detail/a91a09c1815ba88/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Wonderful Company","United States - wonderful.com","2 keywords researched a total of 2 times by 1 anonymous user","digital asset management trends, digital asset management",2,2,1,"Feb 21, 2023"
