"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns"
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","2 keywords researched a total of 2 times by 1 anonymous user","hyland reviews, hyland",2,2,1,"Aug 13, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Aug 7, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Aug 6, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 26, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 22, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jul 14, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 11, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Jul 7, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","2 keywords researched a total of 2 times by 1 anonymous user","aem, adobe aem",2,2,1,"Jun 22, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",1,2,1,"Jun 20, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jun 15, 2023",,
"/discover/account/detail/c78b7958a9e5eed/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Xilinx, Inc.","United States - xilinx.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 9, 2023",,
