"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 6 times by 1 anonymous user","digital asset management",1,6,1,"Jul 25, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 21, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",1,3,1,"Jun 5, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Apr 28, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 2 times by 1 anonymous user","lifecycle analytics",1,2,1,"Mar 26, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 20, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 15, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 24, 2023"
"/discover/account/detail/eda02339462e4c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","YESCO","United States - yesco.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 23, 2023"
