"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 6 times by 1 anonymous user","marketing performance",1,6,1,"Aug 12, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 3 times by 1 anonymous user","marketing performance",1,3,1,"Aug 10, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Jul 22, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 14, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","dam new york",1,1,1,"Jun 18, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"May 28, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"May 20, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Apr 23, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",1,2,1,"Mar 28, 2023"
"/discover/account/detail/ba704fe41e9b6fe/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Young's Market","United States - youngsmarket.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 21, 2023"
