"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Aug 2, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 1, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 31, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Jul 27, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 20, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 18, 2023",1,1,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 18, 2023",1,,1
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","2 keywords researched a total of 3 times by 2 anonymous users","hyland, taxonomy",2,3,2,"Jul 18, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 17, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 15, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 14, 2023",,,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","3 pages viewed a total of 4 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/resources/, https://tenovos.com/careers/",,,1,"Jul 13, 2023",3,4,
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","3 pages clicked a total of 7 times by 1 Anonymous user","https://tenovos.com/careers/, https://tenovos.com/, https://tenovos.com/resources/",,,1,"Jul 13, 2023",3,,7
"/discover/account/detail/2630fd01ee368f6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Amway","United States - amway.com","2 keywords researched a total of 2 times by 1 anonymous user","hyland, hyland reviews",2,2,1,"Jul 12, 2023",,,
