"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","8 keywords researched a total of 15 times by 7 anonymous users","smartsheet, smartsheet digital asset management, widen, digital asset management, taxonomy, content hub, marketing workflow automation, workflow automation",8,15,7,"Aug 2, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 pages viewed a total of 12 times by 3 Anonymous users","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/",,,3,"Aug 1, 2023",2,12,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","6 keywords researched a total of 12 times by 6 anonymous users","hyland, widen, marketing performance, content delivery network, content hub, workflow automation",6,12,6,"Aug 1, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 3 times by 2 anonymous users","aem, content hub",2,3,2,"Jul 31, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","4 keywords researched a total of 9 times by 4 anonymous users","taxonomy, workflow automation, marketing performance, digital asset management",4,9,4,"Jul 29, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","4 keywords researched a total of 6 times by 4 anonymous users","hyland, sitecore, taxonomy, content hub",4,6,4,"Jul 28, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 27, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 3 times by 3 anonymous users","canto, digital asset manager",2,3,3,"Jul 26, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 3 times by 3 anonymous users","marketing performance, taxonomy",2,3,3,"Jul 25, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","4 keywords researched a total of 7 times by 4 anonymous users","hyland, widen, digital asset management, marketing performance",4,7,4,"Jul 24, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 2 times by 2 anonymous users","nuxeo, workflow automation",2,2,2,"Jul 23, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",1,3,1,"Jul 22, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","5 keywords researched a total of 6 times by 5 anonymous users","opentext, hyland, workflow automation, taxonomy, content intelligence",5,6,5,"Jul 21, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/platform/story-orchestration/",,,1,"Jul 20, 2023",2,2,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","1 page clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 20, 2023",1,,5
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 3 times by 3 anonymous users","aem, content delivery network",2,3,3,"Jul 20, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","5 keywords researched a total of 9 times by 6 anonymous users","widen, hyland, taxonomy, marketing performance, content hub",5,9,6,"Jul 19, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","3 keywords researched a total of 5 times by 4 anonymous users","hyland, content hub, marketing performance",3,5,4,"Jul 18, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 4 times by 4 anonymous users","aem, workflow automation",2,4,4,"Jul 17, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","7 keywords researched a total of 11 times by 6 anonymous users","Informatica, adobe aem, aem, canto, taxonomy, workflow automation, content delivery network",7,11,6,"Jul 16, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"Jul 15, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","3 keywords researched a total of 9 times by 9 anonymous users","widen, Informatica, content hub",3,9,9,"Jul 14, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 4 times by 3 anonymous users","smartsheet, taxonomy",2,4,3,"Jul 13, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","3 keywords researched a total of 8 times by 7 anonymous users","aem, widen, workflow automation",3,8,7,"Jul 12, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 11, 2023",1,1,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 3 times by 3 anonymous users","digital asset management, content hub",2,3,3,"Jul 11, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 10, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 2 times by 2 anonymous users","content delivery network, taxonomy",2,2,2,"Jul 9, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, workflow automation",2,2,2,"Jul 8, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","3 keywords researched a total of 5 times by 3 anonymous users","aem, smartsheet, widen",3,5,3,"Jul 7, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 5 times by 2 anonymous users","smartsheet, digital asset management",2,5,2,"Jul 5, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","1 keyword researched a total of 1 time by 1 anonymous user","publish assets",1,1,1,"Jul 4, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 3 times by 3 anonymous users","publish assets, taxonomy",2,3,3,"Jul 3, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 5 times by 2 anonymous users","Informatica, content hub",2,5,2,"Jul 2, 2023",,,
"/discover/account/detail/00e2daf8ea367f4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Apple, Inc.","United States - apple.com","2 keywords researched a total of 3 times by 2 anonymous users","marketing performance, intelligent content",2,3,2,"Jul 1, 2023",,,
