"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 26, 2023",,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","2 pages viewed a total of 7 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/why/",2,7,2,"Jul 25, 2023",,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","2 pages clicked a total of 6 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/why/",2,,2,"Jul 25, 2023",6,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","9 pages viewed a total of 12 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/, https://tenovos.com/why/, https://tenovos.com/customers/, https://tenovos.com/about/#investors, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/resources/events/, https://tenovos.com/about/#leadership, https://tenovos.com/platform/tenovos-mach-alliance/",9,12,1,"Jul 19, 2023",,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","8 pages clicked a total of 12 times by 1 Anonymous user","https://tenovos.com/about/#contacts, https://tenovos.com/about/, https://tenovos.com/about/#why, https://tenovos.com/platform/tenovos-mach-alliance/, https://tenovos.com/, https://tenovos.com/customers/, https://tenovos.com/why/, https://tenovos.com/about/#investors",8,,1,"Jul 19, 2023",12,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","8 pages viewed a total of 10 times by 1 Anonymous user","https://tenovos.com/platform/story-orchestration/, https://tenovos.com/forrester-wave-digital-asset-management-2022/, https://tenovos.com/customers/, https://tenovos.com/platform/, https://tenovos.com/, https://tenovos.com/about/, https://tenovos.com/about/#contacts, https://tenovos.com/platform/cloud-infrastructure/",8,10,1,"Jul 13, 2023",,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","9 pages clicked a total of 14 times by 1 Anonymous user","https://tenovos.com/platform/, https://tenovos.com/about/#contacts, https://tenovos.com/customers/, https://tenovos.com/about/#investors, https://tenovos.com/, https://tenovos.com/platform/story-orchestration/, https://tenovos.com/forrester-wave-digital-asset-management-2022/, https://tenovos.com/about/, https://tenovos.com/platform/cloud-infrastructure/",9,,1,"Jul 13, 2023",14,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/forrester-wave-digital-asset-management-2022/",1,1,1,"Jul 12, 2023",,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/forrester-wave-digital-asset-management-2022/",1,,1,"Jul 12, 2023",1,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/why/, https://tenovos.com/",2,2,1,"Jul 10, 2023",,,
"/discover/account/detail/955aae1f3a2e4d5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ASHARQ NEWS SERVICES","United Arab Emirates - basharq.com","4 pages clicked a total of 6 times by 1 Anonymous user","https://tenovos.com/#section-two, https://tenovos.com/#section-three, https://tenovos.com/, https://tenovos.com/#section-four",4,,1,"Jul 10, 2023",6,,
