"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","4 pages viewed a total of 6 times by 1 Anonymous user","https://tenovos.com/thank-you-for-downloading-our-user-adoption-toolkit/, https://tenovos.com/resources/, https://tenovos.com/resources/blog/challenges-why-users-hate-your-dam/, https://tenovos.com/user-adoption-toolkit/",4,6,1,"Jul 25, 2023",,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","4 pages clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/user-adoption-toolkit/, https://tenovos.com/thank-you-for-downloading-our-user-adoption-toolkit/, https://tenovos.com/resources/blog/challenges-why-users-hate-your-dam/, https://tenovos.com/resources/",4,,1,"Jul 25, 2023",5,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/webinars/inclusive-metadata-steps-to-address-diversity-equity-and-inclusion-in-your-dam/",1,1,1,"Jul 24, 2023",,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","3 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/thank-you-for-registering-to-our-webinar/, https://tenovos.com/resources/webinars/, https://tenovos.com/resources/webinars/inclusive-metadata-steps-to-address-diversity-equity-and-inclusion-in-your-dam/",3,3,1,"Jul 21, 2023",,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","3 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/resources/webinars/inclusive-metadata-steps-to-address-diversity-equity-and-inclusion-in-your-dam/, https://tenovos.com/resources/webinars/, https://tenovos.com/thank-you-for-registering-to-our-webinar/",3,,1,"Jul 21, 2023",3,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","2 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/thank-you-for-registering-to-our-webinar/, https://tenovos.com/bringing-content-to-life-with-brand-portals/",2,3,1,"Jul 20, 2023",,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/thank-you-for-registering-to-our-webinar/",1,,1,"Jul 20, 2023",1,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/tenovos-rfp-template-download/",1,1,1,"Jun 20, 2023",,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/tenovos-rfp-template-download/",1,2,1,"Jun 16, 2023",,,
"/discover/account/detail/fa574e779f04673/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","AVP","United States - weareavp.com","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/tenovos-rfp-template-download/",1,,1,"Jun 16, 2023",3,,
