"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","2 pages viewed a total of 4 times by 2 Anonymous users","https://tenovos.com/resources/blog/the-price-of-being-dam-less-6-surprising-costs-you-may-be-incurring/, https://tenovos.com/resources/blog/power-of-generative-ai-addressing-rights-and-licensing-challenges/",2,4,2,"Jul 23, 2023",,,
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","1 page clicked a total of 2 times by 2 Anonymous users","https://tenovos.com/resources/blog/the-price-of-being-dam-less-6-surprising-costs-you-may-be-incurring/",1,,2,"Jul 23, 2023",2,,
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","1 keyword researched a total of 3 times by 1 anonymous user","hyland",,,1,"Jul 18, 2023",,1,3
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Jul 3, 2023",,1,1
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",,,1,"Jun 21, 2023",,1,1
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jun 8, 2023",,1,1
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Mar 29, 2023",,1,1
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Mar 16, 2023",,1,1
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","2 keywords researched a total of 2 times by 2 anonymous users","opentext solutions, taxonomy",,,2,"Feb 23, 2023",,2,2
"/discover/account/detail/9d95b562c8aee95/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Barracuda Networks","United States - barracuda.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",,,1,"Feb 18, 2023",,1,1
