"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked"
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","15 pages viewed a total of 22 times by 1 Anonymous user","https://tenovos.com/tenovos-partner-network/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/, https://tenovos.com/resources/blog/power-of-generative-ai-addressing-rights-and-licensing-challenges/, https://tenovos.com/customer-referral-program/, https://tenovos.com/customers/, https://tenovos.com/events/sharing-is-caring-maximizing-content-distribution-consumption-and-reuse-with-internal-and-external-teams/, https://tenovos.com/resources/webinars/sharing-is-caring-maximizing-content-distribution-consumption-and-reuse-with-internal-and-external-teams/, https://tenovos.com/why/, https://tenovos.com/platform/content-storyboards/, https://tenovos.com/platform/cloud-infrastructure/",15,22,1,"Aug 3, 2023",
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","7 pages clicked a total of 13 times by 1 Anonymous user","https://tenovos.com/resources/webinars/sharing-is-caring-maximizing-content-distribution-consumption-and-reuse-with-internal-and-external-teams/, https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/tenovos-aws-better-together-cloud-dam-solution/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/, https://tenovos.com/customers/",7,,1,"Aug 3, 2023",13
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","19 pages viewed a total of 32 times by 1 Anonymous user","https://tenovos.com/customers/, https://tenovos.com/platform/story-management/, https://tenovos.com/platform/rights-management/, https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/resources/, https://tenovos.com/integrations/, https://tenovos.com/resources/blog/power-of-generative-ai-addressing-rights-and-licensing-challenges/, https://tenovos.com/platform/story-activation/, https://tenovos.com/platform/content-storyboards/",19,32,1,"Aug 2, 2023",
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","16 pages clicked a total of 38 times by 1 Anonymous user","https://tenovos.com/platform/protect-your-brand/, https://tenovos.com/platform/rights-management/, https://tenovos.com/resources/, https://tenovos.com/resources/blog/the-mach-alliance-technology-ecosystem/, https://tenovos.com/platform/story-management/, https://tenovos.com/resources/blog/power-of-generative-ai-addressing-rights-and-licensing-challenges/, https://tenovos.com/platform/story-activation/, https://tenovos.com/platform/content-storyboards/, https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/tenovos-rfp-template-download/",16,,1,"Aug 2, 2023",38
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","19 pages viewed a total of 34 times by 1 Anonymous user","https://tenovos.com/user-adoption-toolkit/, https://tenovos.com/customers/, https://tenovos.com/resources/blog/digital-asset-management-business-case/, https://tenovos.com/platform/story-management/, https://tenovos.com/resources/webinars/webinar-dam-data-101/, https://tenovos.com/digital-asset-management-roi-productivity/, https://tenovos.com/why/, https://tenovos.com/business-case-presentation-template-download/, https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/digital-asset-management-vendor-evaluation-guide/",19,34,1,"Aug 1, 2023",
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","20 pages clicked a total of 44 times by 1 Anonymous user","https://tenovos.com/resources/#whitepapers, https://tenovos.com/resources/#guides, https://tenovos.com/resources/webinars/webinar-dam-data-101/, https://tenovos.com/platform/story-management/, https://tenovos.com/resources/webinars/canadian-tire-enterprise-dam-webinar/, https://tenovos.com/resources/#cases, https://tenovos.com/resources/blog/digital-asset-management-business-case/, https://tenovos.com/tenovos-rfp-template-download/, https://tenovos.com/resources/#overviews, https://tenovos.com/why/",20,,1,"Aug 1, 2023",44
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","18 pages viewed a total of 34 times by 1 Anonymous user","https://tenovos.com/platform/dam-admin-roles-configurations/, https://tenovos.com/customers/, https://tenovos.com/platform/dam-metadata/, https://tenovos.com/resources/blog/choosing-the-right-dam-career/, https://tenovos.com/resources/blog/assembling-your-dam-dream-team/, https://tenovos.com/resources/blog/the-three-top-dam-productivity-reports-youll-need-this-year/, https://tenovos.com/resources/, https://tenovos.com/platform/, https://tenovos.com/resources/blog/the-mach-alliance-technology-ecosystem/, https://tenovos.com/",18,34,1,"Jul 31, 2023",
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","17 pages clicked a total of 45 times by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/resources/#overviews, https://tenovos.com/resources/blog/the-mach-alliance-technology-ecosystem/, https://tenovos.com/resources/#guides, https://tenovos.com/resources/#blog, https://tenovos.com/resources/blog/get-more-from-your-dam-platform/, https://tenovos.com/resources/blog/the-three-top-dam-productivity-reports-youll-need-this-year/, https://tenovos.com/resources/, https://tenovos.com/resources/blog/, https://tenovos.com/customers/#case-studies",17,,1,"Jul 31, 2023",45
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","9 pages viewed a total of 12 times by 1 Anonymous user","https://tenovos.com/terms-of-service/, https://tenovos.com/content-push-landing-page/, https://tenovos.com/digital-asset-management-roi-productivity/, https://tenovos.com/customers/, https://tenovos.com/resources/guides-dei-inclusive-metadata/, https://tenovos.com/platform/story-activation/, https://tenovos.com/resources/blog/dei-digital-asset-management/, https://tenovos.com/resources/webinars/the-impact-of-ai-on-digital-asset-management-key-skills-for-dam-managers-to-stay-competitive/, https://tenovos.com/bringing-content-to-life-with-brand-portals/",9,12,1,"Jul 28, 2023",
"/discover/account/detail/a04ee381adf7059/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Berenson Inc","Canada - berenson.ca","4 pages clicked a total of 10 times by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/customers/, https://tenovos.com/content-push-landing-page/, https://tenovos.com/resources/blog/dei-digital-asset-management/",4,,1,"Jul 28, 2023",10
