"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 21, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, marketing performance",2,2,2,"Jul 14, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 11, 2023",1,1,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 11, 2023",1,,1
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",1,1,1,"Jul 11, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","3 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/, https://tenovos.com/why/",,,1,"Jul 7, 2023",3,3,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/why/",,,1,"Jul 7, 2023",2,,3
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 3, 2023",1,1,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 29, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jun 28, 2023",1,1,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jun 28, 2023",1,,1
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/press/tenovos-appoints-scott-bowen-ceo/",,,1,"Jun 27, 2023",1,1,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 2 times by 1 anonymous user","product information management",1,2,1,"Jun 24, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/about/#contacts",,,1,"Jun 7, 2023",2,2,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","3 pages clicked a total of 6 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/about/#contacts, https://tenovos.com/about/#investors",,,1,"Jun 7, 2023",3,,6
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 2, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"May 31, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 30, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"May 22, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 17, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"May 16, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",1,2,1,"May 10, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"May 6, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Apr 26, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Apr 25, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Apr 10, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Mar 31, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",1,2,1,"Mar 22, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","2 keywords researched a total of 4 times by 1 anonymous user","digital asset manager, digital asset management",2,4,1,"Mar 21, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",1,2,1,"Mar 13, 2023",,,
"/discover/account/detail/505458eba053973/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canaccord Genuity","United States - canaccordgenuity.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 1, 2023",,,
