"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/thank-you-for-registering-for-our-webinar/",2,2,1,"Aug 1, 2023",,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",1,,1,"Aug 1, 2023",1,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",1,1,1,"Jul 27, 2023",,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/platform/",1,1,1,"Jul 20, 2023",,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Jul 20, 2023",,1,1
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jul 18, 2023",,1,1
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/, https://tenovos.com/",2,2,1,"Jul 13, 2023",,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/resources/, https://tenovos.com/",2,,1,"Jul 13, 2023",3,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 keyword researched a total of 8 times by 1 anonymous user","brand collections",,,1,"Jul 13, 2023",,1,8
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","3 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/why/dam-solutions-empower-sales-partners/, https://tenovos.com/customers/, https://tenovos.com/",3,3,1,"Jul 10, 2023",,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","3 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/customers/, https://tenovos.com/why/dam-solutions-empower-sales-partners/",3,,1,"Jul 10, 2023",3,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 6, 2023",,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 6, 2023",1,,
"/discover/account/detail/b82519a4e0d5374/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Canadian Tire Corporation","Canada - canadiantire.ca","1 keyword researched a total of 1 time by 1 anonymous user","product information management",,,1,"Jun 29, 2023",,1,1
