"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","4 keywords researched a total of 5 times by 5 anonymous users","smartsheet, hyland, marketing performance, taxonomy",4,5,5,"Aug 2, 2023",,,
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","2 pages viewed a total of 6 times by 3 Anonymous users","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/thank-you-for-registering-for-our-webinar/",,,3,"Aug 1, 2023",2,6,
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","2 pages clicked a total of 7 times by 3 Anonymous users","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/thank-you-for-registering-for-our-webinar/",,,3,"Aug 1, 2023",2,,7
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","5 keywords researched a total of 7 times by 5 anonymous users","Informatica, digital asset management, taxonomy, content delivery network, marketing performance",5,7,5,"Aug 1, 2023",,,
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","2 keywords researched a total of 4 times by 2 anonymous users","Informatica, hyland",2,4,2,"Jul 31, 2023",,,
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 29, 2023",,,
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","2 keywords researched a total of 6 times by 2 anonymous users","widen, content intelligence",2,6,2,"Jul 28, 2023",,,
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","2 keywords researched a total of 4 times by 2 anonymous users","widen, content hub",2,4,2,"Jul 27, 2023",,,
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","2 keywords researched a total of 3 times by 2 anonymous users","opentext, hyland",2,3,2,"Jul 25, 2023",,,
"/discover/account/detail/a13011f3d17b0fa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Capital One Financial Corporation","United States - capitalone.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, widen",2,2,2,"Jul 24, 2023",,,
