"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/webinars/inclusive-metadata-steps-to-address-diversity-equity-and-inclusion-in-your-dam/",1,1,1,"Jul 31, 2023",,,
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/webinars/inclusive-metadata-steps-to-address-diversity-equity-and-inclusion-in-your-dam/",1,,1,"Jul 31, 2023",1,,
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",,,1,"Jun 18, 2023",,1,1
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Jun 14, 2023",,1,2
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",,,1,"May 24, 2023",,1,1
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"May 16, 2023",,1,1
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"May 9, 2023",,1,1
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 4 times by 1 anonymous user","content hub",,,1,"May 3, 2023",,1,4
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"May 2, 2023",,1,2
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"May 1, 2023",,1,1
"/discover/account/detail/5f1d0057a2369aa/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","City Of Edmonton","Canada - edmonton.ca","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Apr 14, 2023",,1,1
