"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 13, 2023",,,
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 13, 2023",2,,
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/customers/",1,1,1,"Jul 10, 2023",,,
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/customers/",1,,1,"Jul 10, 2023",3,,
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 6, 2023",,,
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 6, 2023",2,,
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",,,1,"Jul 5, 2023",,1,1
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jun 28, 2023",,,
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jun 28, 2023",1,,
"/discover/account/detail/f0f283d2f8781c0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Cloudinary","United States - cloudinary.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",,,1,"Jun 27, 2023",,1,2
