"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",1,1,1,"Aug 1, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/, https://tenovos.com/platform/",2,2,1,"Jul 31, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","2 pages viewed a total of 3 times by 2 Anonymous users","https://tenovos.com/forrester-wave-digital-asset-management-2022/, https://tenovos.com/resources/",2,3,2,"Jul 26, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jul 24, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 3 times by 1 anonymous user","widen",,,1,"Jul 21, 2023",1,3,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/why/creative-asset-management-system/",1,1,1,"Jul 20, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/why/creative-asset-management-system/",1,,1,"Jul 20, 2023",,,1
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/platform/cloud-infrastructure/",1,1,1,"Jul 19, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/platform/cloud-infrastructure/",1,,1,"Jul 19, 2023",,,1
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",,,1,"Jul 18, 2023",1,2,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 2 times by 2 anonymous users","dam europe",,,2,"Jun 26, 2023",1,2,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/blog/quick-start-guide-to-dam-integrations/, https://tenovos.com/platform/cloud-infrastructure/",2,2,1,"Jun 23, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/resources/blog/quick-start-guide-to-dam-integrations/",2,,1,"Jun 23, 2023",,,3
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jun 15, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 page viewed a total of 3 times by 2 Anonymous users","https://tenovos.com/",1,3,2,"Jun 13, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","2 pages clicked a total of 5 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/#section-four",2,,2,"Jun 13, 2023",,,5
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jun 13, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","2 keywords researched a total of 2 times by 2 anonymous users","sitecore, hyland",,,2,"Jun 9, 2023",2,2,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"May 26, 2023",1,1,
