"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","9 pages viewed a total of 17 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/digital-asset-management-roi-productivity/, https://tenovos.com/platform/tenovos-mach-alliance/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/platform/, https://tenovos.com/tenovos-aws-better-together-cloud-dam-solution/, https://tenovos.com/customers/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/events/sharing-is-caring-maximizing-content-distribution-consumption-and-reuse-with-internal-and-external-teams/",9,17,2,"Aug 3, 2023",,,
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","9 pages clicked a total of 20 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/digital-asset-management-roi-productivity/, https://tenovos.com/digital-asset-management-roi-productivity/#collaboration, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/platform/, https://tenovos.com/digital-asset-management-roi-productivity/#localize, https://tenovos.com/tenovos-aws-better-together-cloud-dam-solution/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/digital-asset-management-roi-productivity/#consistency",9,,2,"Aug 3, 2023",20,,
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/blog/assembling-your-dam-dream-team/, https://tenovos.com/",2,2,1,"Aug 2, 2023",,,
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","7 pages viewed a total of 11 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/press/s4s-bdmi-tenovos-series-b-funding/, https://tenovos.com/customers/, https://tenovos.com/resources/press/, https://tenovos.com/platform/content-storyboards/, https://tenovos.com/platform/ai-digital-asset-management/, https://tenovos.com/bringing-content-to-life-with-brand-portals/",7,11,2,"Aug 1, 2023",,,
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","5 pages clicked a total of 7 times by 1 Anonymous user","https://tenovos.com/press/s4s-bdmi-tenovos-series-b-funding/, https://tenovos.com/platform/ai-digital-asset-management/, https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/, https://tenovos.com/resources/press/",5,,1,"Aug 1, 2023",7,,
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","8 pages viewed a total of 29 times by 2 Anonymous users","https://tenovos.com/tenovos-aws-better-together-cloud-dam-solution/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/, https://tenovos.com/, https://tenovos.com/resources/guides-dei-inclusive-metadata/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/resources/webinars/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/why/digital-asset-management-system/",8,29,2,"Jul 31, 2023",,,
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","5 pages clicked a total of 21 times by 2 Anonymous users","https://tenovos.com/tenovos-aws-better-together-cloud-dam-solution/, https://tenovos.com/why/digital-asset-management-system/, https://tenovos.com/resources/webinars/, https://tenovos.com/, https://tenovos.com/resources/guides-dei-inclusive-metadata/",5,,2,"Jul 31, 2023",21,,
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Jul 31, 2023",,1,2
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 8 times by 2 anonymous users","smartsheet",,,2,"Jul 25, 2023",,1,8
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jul 24, 2023",,1,1
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jul 23, 2023",,1,1
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","2 keywords researched a total of 3 times by 2 anonymous users","sitecore, taxonomy",,,2,"Jul 21, 2023",,2,3
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Jul 20, 2023",,1,1
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jul 19, 2023",,1,1
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 2 times by 2 anonymous users","widen",,,2,"Jul 15, 2023",,1,2
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 2 times by 2 anonymous users","widen",,,2,"Jul 14, 2023",,1,2
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 13, 2023",,1,1
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","dam manager",,,1,"Jul 12, 2023",,1,1
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 3 times by 2 anonymous users","dam manager",,,2,"Jul 11, 2023",,1,3
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",,,1,"Jul 10, 2023",,1,2
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Jul 8, 2023",,1,2
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",,,1,"Jul 7, 2023",,1,1
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",,,1,"Jul 6, 2023",,1,3
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Jul 2, 2023",,1,1
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 6 times by 5 anonymous users","canto",,,5,"Jul 1, 2023",,1,6
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","2 keywords researched a total of 2 times by 2 anonymous users","widen, canto",,,2,"Jun 30, 2023",,2,2
"/discover/account/detail/77ad57ee58f1eee/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Dana - Farber Cancer Institute","United States - dana-farber.org","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Jun 28, 2023",,1,1
