"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 keyword researched a total of 1 time by 1 anonymous user","brand collections",1,1,1,"Jul 29, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 keyword researched a total of 6 times by 3 anonymous users","widen",1,6,3,"Jul 27, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 25, 2023",1,1,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/about/#contacts",,,1,"Jul 25, 2023",1,,1,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","2 keywords researched a total of 2 times by 2 anonymous users","Informatica, intelligent content",2,2,2,"Jul 25, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","4 pages viewed a total of 8 times by 3 Anonymous users","https://tenovos.com/, https://tenovos.com/about/#contacts, https://tenovos.com/about/, https://tenovos.com/demo/",,,3,"Jul 24, 2023",4,8,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","3 pages clicked a total of 9 times by 3 Anonymous users","https://tenovos.com/, https://tenovos.com/about/#contacts, https://tenovos.com/about/",,,3,"Jul 24, 2023",3,,9,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 20, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, taxonomy",2,2,2,"Jul 19, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 17, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 14, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/ebooks-dam-productivity-guide/process-metrics/",,,1,"Jul 13, 2023",1,1,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/ebooks-dam-productivity-guide/process-metrics/",,,1,"Jul 13, 2023",1,,1,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, forrester wave",2,2,2,"Jul 12, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","2 keywords researched a total of 3 times by 2 anonymous users","workflow automation, intelligent content",2,3,2,"Jul 11, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 10, 2023",1,1,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, marketing performance",2,3,2,"Jul 10, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 7, 2023",,,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","3 pages viewed a total of 3 times by 2 Anonymous users","https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/why/digital-asset-management-system/, https://tenovos.com/",,,2,"Jul 6, 2023",3,3,,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","3 pages clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/why/digital-asset-management-system/, https://tenovos.com/, https://tenovos.com/#section-one",,,1,"Jul 6, 2023",3,,5,,
"/discover/account/detail/9555af3311dd293/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte","Canada - deloitte.com","4 pages viewed a total of 5 times by 3 Anonymous users","https://tenovos.com/, https://tenovos.com/resources/#guides, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/resources/events/",,,3,"Jul 5, 2023",4,5,,,
