"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","7 keywords researched a total of 24 times by 13 anonymous users","Informatica, aem, hyland, pim, informatica pim, marketing performance, digital asset management",7,24,13,"Aug 2, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","7 keywords researched a total of 36 times by 12 anonymous users","Informatica, aprimo, informatica tutorials, hyland, smartsheet, marketing performance, taxonomy",7,36,12,"Aug 1, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","7 keywords researched a total of 20 times by 10 anonymous users","smartsheet, opentext, Informatica, sitecore, hyland, marketing performance, intelligent content",7,20,10,"Jul 31, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","4 keywords researched a total of 6 times by 6 anonymous users","product information management, widen, taxonomy, marketing performance",4,6,6,"Jul 30, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","3 keywords researched a total of 3 times by 3 anonymous users","workflow automation, marketing performance, content delivery network",3,3,3,"Jul 29, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","5 keywords researched a total of 14 times by 10 anonymous users","Informatica, sitecore, content hub, taxonomy, content intelligence",5,14,10,"Jul 28, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","10 keywords researched a total of 17 times by 12 anonymous users","Informatica, hyland, smartsheet, aem, content delivery network, intelligent content, content intelligence, content hub, marketing performance, taxonomy",10,17,12,"Jul 27, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","9 keywords researched a total of 24 times by 12 anonymous users","Informatica, hyland, opentext solutions, opentext, opentext reviews, marketing performance, content hub, workflow automation, digital asset management",9,24,12,"Jul 26, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 25, 2023",1,1,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","4 keywords researched a total of 18 times by 10 anonymous users","Informatica, marketing performance, workflow automation, content hub",4,18,10,"Jul 25, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","6 keywords researched a total of 15 times by 13 anonymous users","smartsheet, hyland, widen, story insights, content delivery network, taxonomy",6,15,13,"Jul 24, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","4 keywords researched a total of 14 times by 8 anonymous users","hyland, marketing performance, content delivery network, taxonomy",4,14,8,"Jul 23, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","5 keywords researched a total of 11 times by 7 anonymous users","canto, Salsify, Informatica, marketing performance, content delivery network",5,11,7,"Jul 22, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","5 keywords researched a total of 13 times by 10 anonymous users","Informatica, opentext, taxonomy, content delivery network, workflow automation",5,13,10,"Jul 21, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","5 pages viewed a total of 6 times by 2 Anonymous users","https://tenovos.com/tenovos-partner-network/, https://tenovos.com/customers-old/, https://tenovos.com/why/digital-asset-management-system/, https://tenovos.com/customers/, https://tenovos.com/",,,2,"Jul 20, 2023",5,6,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","5 pages clicked a total of 9 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/customers-old/, https://tenovos.com/customers/, https://tenovos.com/why/digital-asset-management-system/",,,2,"Jul 20, 2023",5,,9,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","6 keywords researched a total of 10 times by 7 anonymous users","aem, widen, opentext, Informatica, taxonomy, digital asset management",6,10,7,"Jul 20, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","7 keywords researched a total of 21 times by 13 anonymous users","hyland, Informatica, sitecore, marketing performance, content hub, taxonomy, digital asset management",7,21,13,"Jul 19, 2023",,,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","3 pages viewed a total of 4 times by 1 Anonymous user","https://tenovos.com/customers/, https://tenovos.com/digital-asset-management-roi-productivity/, https://tenovos.com/",,,1,"Jul 18, 2023",3,4,,,
"/discover/account/detail/2d0b7f45bd72c12/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Deloitte Touche Tohmatsu","United States - deloitte.com","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/digital-asset-management-roi-productivity/",,,1,"Jul 18, 2023",2,,3,,
