"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked"
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","7 pages viewed a total of 9 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/platform/story-activation/, https://tenovos.com/customers/, https://tenovos.com/platform/ai-digital-asset-management/, https://tenovos.com/why/, https://tenovos.com/platform/, https://tenovos.com/why/digital-asset-management-roi/",7,9,2,"Jul 11, 2023",
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","6 pages clicked a total of 12 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/why/, https://tenovos.com/platform/, https://tenovos.com/customers/, https://tenovos.com/platform/ai-digital-asset-management/, https://tenovos.com/platform/story-activation/",6,,2,"Jul 11, 2023",12
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 8, 2023",
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 8, 2023",2
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 5, 2023",
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 5, 2023",1
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jun 30, 2023",
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jun 29, 2023",
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","2 pages viewed a total of 7 times by 4 Anonymous users","https://tenovos.com/, https://tenovos.com/platform/",2,7,4,"Jun 28, 2023",
"/discover/account/detail/35784987b9a72d0/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","District Capital Partners","United States - dcp.com","2 pages clicked a total of 7 times by 4 Anonymous users","https://tenovos.com/, https://tenovos.com/platform/",2,,4,"Jun 28, 2023",7
