"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 26, 2023",,,
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 20, 2023",,,
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 20, 2023",1,,
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 keyword researched a total of 10 times by 1 anonymous user","sitecore",,,1,"Jun 22, 2023",,1,10
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Jun 12, 2023",,1,1
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",,,1,"Jun 2, 2023",,1,1
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"May 30, 2023",,1,1
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",,,1,"May 29, 2023",,1,1
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",,,1,"May 27, 2023",,1,2
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Mar 26, 2023",,1,1
"/discover/account/detail/802fdb60506b4b6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","EPAM Systems, Inc.","United Kingdom - epam.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Mar 13, 2023",,1,1
