"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched","impressions","campaigns"
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/platform/storylink-creative-content/",1,1,1,"Aug 3, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","4 pages viewed a total of 5 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/resources/#tools, https://tenovos.com/resources/#guides, https://tenovos.com/platform/dynamically-generate-creative-assets/",4,5,2,"Aug 2, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page clicked a total of 6 times by 2 Anonymous users","https://tenovos.com/",1,,2,"Aug 2, 2023",6,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 4 times by 2 anonymous users","sitecore, marketing performance",,,2,"Aug 1, 2023",,2,4,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 3 times by 1 anonymous user","canto",,,1,"Jul 31, 2023",,1,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jul 29, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 2 times by 2 anonymous users","product information management, marketing performance",,,2,"Jul 27, 2023",,2,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","3 keywords researched a total of 3 times by 3 anonymous users","dam new york, hyland, content delivery network",,,3,"Jul 26, 2023",,3,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 25, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","4 keywords researched a total of 5 times by 4 anonymous users","product information management, hyland, marketing performance, content intelligence",,,4,"Jul 24, 2023",,4,5,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jul 23, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 3 times by 2 anonymous users","digital asset management, marketing performance",,,2,"Jul 20, 2023",,2,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/blog/interpreting-forrester-wave-dam-on-customer-experience/, https://tenovos.com/forrester-wave-digital-asset-management-2022/",2,2,1,"Jul 19, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/resources/blog/interpreting-forrester-wave-dam-on-customer-experience/",1,,1,"Jul 19, 2023",3,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","product information management",,,1,"Jul 19, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","4 keywords researched a total of 4 times by 4 anonymous users","product information management, dam new york, marketing performance, content intelligence",,,4,"Jul 18, 2023",,4,4,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","3 keywords researched a total of 6 times by 3 anonymous users","sitecore, content hub, digital asset management",,,3,"Jul 17, 2023",,3,6,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 15, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","5 keywords researched a total of 11 times by 7 anonymous users","widen, smartsheet, Salsify, taxonomy, content hub",,,7,"Jul 14, 2023",,5,11,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 3 times by 3 anonymous users","widen, taxonomy",,,3,"Jul 12, 2023",,2,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/tenovos-partner-network/",2,3,1,"Jul 11, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 pages clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/tenovos-partner-network/",2,,1,"Jul 11, 2023",5,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 5 times by 2 anonymous users","smartsheet, taxonomy",,,2,"Jul 11, 2023",,2,5,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Jul 10, 2023",,1,1,,
