"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 29, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 26, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 24, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/about/#contacts",,,1,"Jul 21, 2023",1,1,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 21, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","4 pages viewed a total of 6 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/customers/, https://tenovos.com/about/#leadership, https://tenovos.com/about/",,,2,"Jul 20, 2023",4,6,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","5 pages clicked a total of 10 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/customers/, https://tenovos.com/about/#leadership, https://tenovos.com/about/#contacts, https://tenovos.com/about/",,,2,"Jul 20, 2023",5,,10
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jul 20, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 17, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","2 keywords researched a total of 3 times by 3 anonymous users","widen, marketing performance",2,3,3,"Jul 14, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 13, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 11, 2023",,,
"/discover/account/detail/be87ad90843a053/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Huntington Bancshares, Inc.","United States - huntington.com","1 keyword researched a total of 4 times by 3 anonymous users","hyland",1,4,3,"Jul 10, 2023",,,
