"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked"
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","3 pages viewed a total of 3 times by 2 Anonymous users","https://tenovos.com/resources/events/, https://tenovos.com/, https://tenovos.com/resources/blog/dam-insights-your-organization-will-use/",3,3,2,"Jul 25, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","2 pages clicked a total of 3 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/resources/blog/dam-insights-your-organization-will-use/",2,,2,"Jul 25, 2023",3
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 4, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 4, 2023",1
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"May 12, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/careers/",1,1,1,"Mar 30, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",1,1,1,"Mar 20, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",1,,1,"Mar 20, 2023",1
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/rsvp-la-23-03-23/",1,1,1,"Mar 16, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Mar 2, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","3 pages viewed a total of 6 times by 1 Anonymous user","https://tenovos.com/resources/, https://tenovos.com/resources/blog/data-driven-governance-techniques-for-dam-success/, https://tenovos.com/",3,6,1,"Feb 10, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,,1,"Feb 10, 2023",2
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/data-driven-governance-techniques-for-dam-success/",1,1,1,"Feb 9, 2023",
"/discover/account/detail/fbb4f0eec4c6771/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","ICP","United Kingdom - icpnet.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/data-driven-governance-techniques-for-dam-success/",1,,1,"Feb 9, 2023",1
