"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","7 keywords researched a total of 27 times by 15 anonymous users","informatica tutorials, Informatica, aem, opentext, marketing performance, taxonomy, workflow automation",7,27,15,"Aug 2, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","6 keywords researched a total of 20 times by 13 anonymous users","Informatica, smartsheet, opentext, acquia, marketing performance, taxonomy",6,20,13,"Aug 1, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","6 keywords researched a total of 12 times by 12 anonymous users","Informatica, content delivery network, workflow automation, content hub, intelligent content, taxonomy",6,12,12,"Jul 31, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","2 keywords researched a total of 3 times by 3 anonymous users","Informatica, marketing performance",2,3,3,"Jul 30, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","4 keywords researched a total of 7 times by 6 anonymous users","Informatica, widen, taxonomy, marketing performance",4,7,6,"Jul 29, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","4 keywords researched a total of 9 times by 7 anonymous users","Informatica, product information management, marketing performance, dam connectivity",4,9,7,"Jul 28, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","4 keywords researched a total of 27 times by 16 anonymous users","Informatica, opentext, digital asset management, content hub",4,27,16,"Jul 27, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","4 keywords researched a total of 11 times by 7 anonymous users","Informatica, aem, opentext, marketing performance",4,11,7,"Jul 26, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","9 keywords researched a total of 46 times by 23 anonymous users","Informatica, Riversand, opentext reviews, opentext, informatica tutorials, taxonomy, content hub, content delivery network, marketing performance",9,46,23,"Jul 25, 2023",,,
"/discover/account/detail/09a0e89d2e3c107/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Infosys","India - infosys.com","8 keywords researched a total of 34 times by 19 anonymous users","opentext reviews, opentext, Informatica, aem, content hub, content intelligence, marketing performance, taxonomy",8,34,19,"Jul 24, 2023",,,
