"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 24, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 17, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Jul 15, 2023",1,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 12, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 11, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","forrester wave",,,1,"Jul 1, 2023",1,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",,,1,"Jun 30, 2023",1,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Jun 21, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jun 20, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",,,1,"Jun 20, 2023",1,2,
