"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Aug 1, 2023",,,
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 31, 2023",,,
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 31, 2023",3,,
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",,,1,"Jul 21, 2023",,1,2
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",,,1,"Jul 10, 2023",,1,2
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Jul 7, 2023",,1,2
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 4, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 2, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","2 keywords researched a total of 4 times by 2 anonymous users","Informatica, content hub",,,2,"Jun 30, 2023",,2,4
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Jun 11, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",,,1,"Jun 8, 2023",,1,2
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Jun 3, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Jun 1, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",,,1,"May 28, 2023",,1,2
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",,,1,"May 26, 2023",,1,2
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"May 25, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"May 18, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Apr 28, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 5 times by 2 anonymous users","marketing performance",,,2,"Apr 20, 2023",,1,5
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Apr 16, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Apr 8, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Apr 5, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Mar 31, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Mar 19, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","2 keywords researched a total of 2 times by 2 anonymous users","content hub, content delivery network",,,2,"Mar 18, 2023",,2,2
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 4 times by 1 anonymous user","smartsheet",,,1,"Mar 9, 2023",,1,4
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",,,1,"Feb 28, 2023",,1,2
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Feb 26, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Feb 22, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Feb 20, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Feb 19, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Feb 18, 2023",,1,1
"/discover/account/detail/4473494ab07f553/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","JSW Steel Ltd","India - jsw.in","2 keywords researched a total of 4 times by 4 anonymous users","canto, track asset performance",,,4,"Feb 17, 2023",,2,4
