"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","5 pages viewed a total of 5 times by 2 Anonymous users","https://tenovos.com/resources/blog/the-three-top-dam-productivity-reports-youll-need-this-year/, https://tenovos.com/, https://tenovos.com/resources/webinars/case-study-how-brown-forman-optimized-their-creative-production-lifecycle/, https://tenovos.com/resources/blog/8-digital-asset-management-features/, https://tenovos.com/platform/story-activation/",5,5,2,"Aug 3, 2023",,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","4 pages clicked a total of 4 times by 2 Anonymous users","https://tenovos.com/resources/webinars/case-study-how-brown-forman-optimized-their-creative-production-lifecycle/, https://tenovos.com/resources/blog/8-digital-asset-management-features/, https://tenovos.com/, https://tenovos.com/platform/story-activation/",4,,2,"Aug 3, 2023",4,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/thank-you-for-registering-to-our-webinar/, https://tenovos.com/bringing-content-to-life-with-brand-portals/",2,2,1,"Jul 18, 2023",,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/",1,,1,"Jul 18, 2023",2,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",,,1,"Jul 11, 2023",,1,1
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jun 29, 2023",,1,1
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jun 27, 2023",,1,1
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",,,1,"Jun 25, 2023",,1,1
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Jun 21, 2023",,1,1
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",,,1,"Jun 16, 2023",,1,2
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",1,1,1,"Jun 15, 2023",,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",1,,1,"Jun 15, 2023",2,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 keyword researched a total of 2 times by 1 anonymous user","dam manager",,,1,"Jun 14, 2023",,1,2
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",1,1,1,"May 31, 2023",,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",1,,1,"May 31, 2023",1,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/what-mattels-content-teaches-us-about-reusing-digital-assets/",1,1,1,"May 27, 2023",,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/digital-asset-management-roi-productivity/",1,1,1,"May 26, 2023",,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/digital-asset-management-roi-productivity/",1,,1,"May 26, 2023",1,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"May 26, 2023",,1,1
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/dam-insights-your-organization-will-use/",1,1,1,"May 16, 2023",,,
"/discover/account/detail/c1c1b2319d226bb/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Metrolinx","Canada - metrolinx.com","1 page clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/resources/blog/dam-insights-your-organization-will-use/",1,,1,"May 16, 2023",3,,
