"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, taxonomy",2,2,2,"Jul 31, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 30, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 28, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 23, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 21, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 12 times by 1 anonymous user","hyland",1,12,1,"Jul 20, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 18, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 16, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jul 15, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",1,2,2,"Jul 14, 2023",,,
"/discover/account/detail/54a8006bd33080a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Moss Adams LLP","United States - mossadams.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 9, 2023",,,
