"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 2, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 keyword researched a total of 1 time by 1 anonymous user","asset usage data",1,1,1,"Aug 1, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 31, 2023",1,1,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jul 31, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","2 keywords researched a total of 3 times by 2 anonymous users","content hub, workflow automation",2,3,2,"Jul 30, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","2 keywords researched a total of 2 times by 1 anonymous user","canto, canto reviews",2,2,1,"Jul 28, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 27, 2023",1,1,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 27, 2023",1,,1
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Jul 26, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 keyword researched a total of 1 time by 1 anonymous user","asset usage data",1,1,1,"Jul 25, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"Jul 24, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","2 pages viewed a total of 5 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/customers/",,,2,"Jul 21, 2023",2,5,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","2 pages clicked a total of 6 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/customers/",,,2,"Jul 21, 2023",2,,6
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 21, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 20, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","5 pages viewed a total of 6 times by 3 Anonymous users","https://tenovos.com/, https://tenovos.com/resources/#whitepapers, https://tenovos.com/resources/blog/digital-asset-management-business-case/, https://tenovos.com/platform/tenovos-mach-alliance/, https://tenovos.com/digital-asset-management-roi-productivity/",,,3,"Jul 18, 2023",5,6,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","2 pages clicked a total of 2 times by 2 Anonymous users","https://tenovos.com/platform/tenovos-mach-alliance/, https://tenovos.com/",,,2,"Jul 18, 2023",2,,2
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",2,2,2,"Jul 18, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","21 pages viewed a total of 43 times by 4 Anonymous users","https://tenovos.com/, https://tenovos.com/platform/tenovos-mach-alliance/, https://tenovos.com/customers/, https://tenovos.com/resources/blog/lesser-known-dam-features/, https://tenovos.com/resources/#whitepapers, https://tenovos.com/platform/story-orchestration/, https://tenovos.com/digital-asset-management-roi-productivity/, https://tenovos.com/resources/blog/enterprise-dam-for-existing-processes/, https://tenovos.com/resources/, https://tenovos.com/about/#leadership",,,4,"Jul 17, 2023",21,43,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","13 pages clicked a total of 39 times by 3 Anonymous users","https://tenovos.com/, https://tenovos.com/resources/blog/lesser-known-dam-features/, https://tenovos.com/careers/, https://tenovos.com/resources/blog/the-price-of-being-dam-less-6-surprising-costs-you-may-be-incurring/, https://tenovos.com/resources/blog/digital-asset-management-business-case/, https://tenovos.com/digital-asset-management-retail/, https://tenovos.com/resources/#whitepapers, https://tenovos.com/forrester-wave-digital-asset-management-2022/, https://tenovos.com/resources/webinars/, https://tenovos.com/why/",,,3,"Jul 17, 2023",13,,39
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, Informatica",2,2,2,"Jul 15, 2023",,,
"/discover/account/detail/54673371fad09c4/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Okta","United States - okta.com","1 page viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/",,,2,"Jul 14, 2023",1,2,
