"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/guides-dei-inclusive-metadata/",1,1,1,"Aug 2, 2023",,,
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 page viewed a total of 3 times by 3 Anonymous users","https://tenovos.com/resources/guides-dei-inclusive-metadata/",1,3,3,"Jul 31, 2023",,,
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 page clicked a total of 4 times by 3 Anonymous users","https://tenovos.com/resources/guides-dei-inclusive-metadata/",1,,3,"Jul 31, 2023",4,,
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Jul 8, 2023",,1,1
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 2 times by 1 anonymous user","canto",,,1,"Jun 9, 2023",,1,2
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 1 time by 1 anonymous user","pim",,,1,"May 22, 2023",,1,1
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Apr 30, 2023",,1,1
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Apr 14, 2023",,1,1
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Apr 4, 2023",,1,1
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",,,1,"Mar 24, 2023",,1,1
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Mar 5, 2023",,1,1
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 3 times by 1 anonymous user","canto",,,1,"Feb 22, 2023",,1,3
"/discover/account/detail/548a9c142cc247c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Philadelphia Museum Of Art","United States - philamuseum.org","1 keyword researched a total of 5 times by 1 anonymous user","digital asset management",,,1,"Feb 4, 2023",,1,5
