"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Aug 1, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/platform/storylink-creative-content/",,,1,"Jul 31, 2023",1,1,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/platform/storylink-creative-content/",,,1,"Jul 31, 2023",1,,2
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/",,,1,"Jul 28, 2023",2,2,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","2 pages clicked a total of 6 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/",,,1,"Jul 28, 2023",2,,6
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 26, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jul 7, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jul 6, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 2 times by 2 anonymous users","taxonomy",1,2,2,"Jul 5, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 2 times by 1 anonymous user","Informatica",1,2,1,"Jun 27, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 24, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jun 12, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 9, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"May 31, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 27, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Apr 19, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Apr 3, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 29, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 26, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 3, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 24, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Feb 23, 2023",,,
"/discover/account/detail/21bf0b1bd76decf/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Rathinam College Of Arts & Science","India - rathinamcollege.edu.in","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Feb 8, 2023",,,
