"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","9 pages viewed a total of 13 times by 1 Anonymous user","https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/resources/guides-dei-inclusive-metadata/, https://tenovos.com/platform/, https://tenovos.com/thank-you-for-registering-for-our-webinar/, https://tenovos.com/press/tenovos-unite-students/, https://tenovos.com/careers/, https://tenovos.com/resources/events/, https://tenovos.com/customers-old/, https://tenovos.com/customers/",9,13,1,"Aug 2, 2023",,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","8 pages clicked a total of 14 times by 1 Anonymous user","https://tenovos.com/platform/, https://tenovos.com/customers-old/, https://tenovos.com/thank-you-for-registering-for-our-webinar/, https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/careers/, https://tenovos.com/customers/, https://tenovos.com/resources/events/, https://tenovos.com/press/tenovos-unite-students/",8,,1,"Aug 2, 2023",14,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 keyword researched a total of 2 times by 1 anonymous user","canto",,,1,"Jul 30, 2023",,1,2
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/platform/story-management/",1,1,1,"Jul 25, 2023",,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jul 21, 2023",,1,1
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jul 7, 2023",,1,1
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jun 22, 2023",,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jun 22, 2023",1,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/security/",2,2,1,"Jun 16, 2023",,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 page clicked a total of 4 times by 1 Anonymous user","https://tenovos.com/security/",1,,1,"Jun 16, 2023",4,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","4 pages viewed a total of 5 times by 1 Anonymous user","https://tenovos.com/why/dam-workflow-tools/, https://tenovos.com/platform/storylink-creative-content/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/why/",4,5,1,"Jun 13, 2023",,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","4 pages clicked a total of 6 times by 1 Anonymous user","https://tenovos.com/platform/storylink-creative-content/, https://tenovos.com/why/dam-workflow-tools/, https://tenovos.com/why/, https://tenovos.com/platform/cloud-infrastructure/",4,,1,"Jun 13, 2023",6,,
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 keyword researched a total of 1 time by 1 anonymous user","best dam",,,1,"Jun 9, 2023",,1,1
"/discover/account/detail/841977432a23152/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Reckitt Benckiser","United Kingdom - reckitt.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,2,1,"Jun 7, 2023",,,
