"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","12 pages viewed a total of 62 times by 2 Anonymous users","https://tenovos.com/resources/webinars/sharing-is-caring-maximizing-content-distribution-consumption-and-reuse-with-internal-and-external-teams/, https://tenovos.com/, https://tenovos.com/resources/blog/power-of-generative-ai-addressing-rights-and-licensing-challenges/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/tenovos-aws-better-together-cloud-dam-solution/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/, https://tenovos.com/platform/content-storyboards/, https://tenovos.com/customers/, https://tenovos.com/sharing-is-caring-maximizing-content-distribution-consumption-and-reuse-with-internal-and-external-teams/, https://tenovos.com/resources/webinars/",12,62,2,"Aug 3, 2023",,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","9 pages clicked a total of 45 times by 1 Anonymous user","https://tenovos.com/resources/webinars/sharing-is-caring-maximizing-content-distribution-consumption-and-reuse-with-internal-and-external-teams/, https://tenovos.com/customers/, https://tenovos.com/tenovos-aws-better-together-cloud-dam-solution/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/resources/webinars/, https://tenovos.com/, https://tenovos.com/sharing-is-caring-maximizing-content-distribution-consumption-and-reuse-with-internal-and-external-teams/, https://tenovos.com/platform/cloud-infrastructure/",9,,1,"Aug 3, 2023",45,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","10 pages viewed a total of 31 times by 3 Anonymous users","https://tenovos.com/resources/blog/the-mach-alliance-technology-ecosystem/, https://tenovos.com/resources/blog/, https://tenovos.com/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/resources/webinars/glossier-dam-webinar/, https://tenovos.com/resources/blog/3-benefits-of-tracking-assets/, https://tenovos.com/resources/webinars/theresa-regli-optimizing-dam-data/, https://tenovos.com/integrations/, https://tenovos.com/resources/webinars/, https://tenovos.com/resources/webinars/brown-forman-dam-case-study/",10,31,3,"Aug 2, 2023",,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","9 pages clicked a total of 21 times by 2 Anonymous users","https://tenovos.com/resources/blog/the-mach-alliance-technology-ecosystem/, https://tenovos.com/resources/webinars/brown-forman-dam-case-study/, https://tenovos.com/resources/webinars/glossier-dam-webinar/, https://tenovos.com/resources/webinars/theresa-regli-optimizing-dam-data/, https://tenovos.com/, https://tenovos.com/resources/webinars/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/resources/blog/, https://tenovos.com/resources/blog/3-benefits-of-tracking-assets/",9,,2,"Aug 2, 2023",21,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","14 pages viewed a total of 67 times by 2 Anonymous users","https://tenovos.com/thank-you-for-registering-for-our-webinar/, https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/resources/blog/3-benefits-of-tracking-assets/, https://tenovos.com/platform/story-management/, https://tenovos.com/platform/, https://tenovos.com/customers/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/, https://tenovos.com/resources/, https://tenovos.com/platform/story-activation/",14,67,2,"Aug 1, 2023",,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","15 pages clicked a total of 78 times by 1 Anonymous user","https://tenovos.com/platform/, https://tenovos.com/resources/#overviews, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/bringing-content-to-life-with-brand-portals/, https://tenovos.com/platform/story-activation/, https://tenovos.com/resources/#cases, https://tenovos.com/resources/#guides, https://tenovos.com/customers/, https://tenovos.com/, https://tenovos.com/resources/#blog",15,,1,"Aug 1, 2023",78,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","6 pages viewed a total of 9 times by 1 Anonymous user","https://tenovos.com/tenovos-partner-network/, https://tenovos.com/, https://tenovos.com/customers/, https://tenovos.com/resources/, https://tenovos.com/resources/blog/, https://tenovos.com/resources/blog/ai-digital-asset-management/",6,9,1,"Jul 31, 2023",,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","5 pages clicked a total of 12 times by 1 Anonymous user","https://tenovos.com/resources/blog/ai-digital-asset-management/, https://tenovos.com/, https://tenovos.com/resources/blog/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/resources/",5,,1,"Jul 31, 2023",12,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","14 pages viewed a total of 28 times by 1 Anonymous user","https://tenovos.com/dam-europe-2023/, https://tenovos.com/frida-feeds-tenovos/, https://tenovos.com/the-friday-feed/, https://tenovos.com/, https://tenovos.com/creative-operations-new-york-2023/, https://tenovos.com/platform/, https://tenovos.com/why/, https://tenovos.com/content-push-landing-page/, https://tenovos.com/resources/events/, https://tenovos.com/bringing-content-to-life-with-brand-portals/",14,28,1,"Jul 28, 2023",,,
"/discover/account/detail/8b305fcf19f20c5/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Ronyx Srl","Italy - ronyx.it","9 pages clicked a total of 18 times by 1 Anonymous user","https://tenovos.com/platform/, https://tenovos.com/resources/events/, https://tenovos.com/, https://tenovos.com/why/, https://tenovos.com/friday-feeds-tenovos/, https://tenovos.com/frida-feeds-tenovos/, https://tenovos.com/content-push-landing-page/, https://tenovos.com/creative-operations-new-york-2023/, https://tenovos.com/the-friday-feed/",9,,1,"Jul 28, 2023",18,,
