"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Aug 2, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Jul 28, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 24, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 22, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","2 keywords researched a total of 4 times by 3 anonymous users","hyland, content hub",2,4,3,"Jul 18, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 17, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 16, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"Jul 15, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","2 pages viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/terms-of-service/, https://tenovos.com/",,,2,"Jul 14, 2023",2,2,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 14, 2023",1,,2
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 4 times by 4 anonymous users","widen",1,4,4,"Jul 14, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"Jul 13, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Jul 12, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 6, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 5, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","2 keywords researched a total of 3 times by 2 anonymous users","taxonomy, best dam",2,3,2,"Jul 2, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jul 1, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 6 times by 2 anonymous users","dam europe",1,6,2,"Jun 26, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","3 keywords researched a total of 4 times by 4 anonymous users","widen, Salsify, marketing performance",3,4,4,"Jun 23, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","2 keywords researched a total of 3 times by 3 anonymous users","widen, campaign monitoring",2,3,3,"Jun 22, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 2 times by 1 anonymous user","content hub",1,2,1,"Jun 21, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"Jun 19, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 18, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 17, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","3 keywords researched a total of 4 times by 3 anonymous users","hyland, aem, brand integrity",3,4,3,"Jun 16, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 15, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","2 keywords researched a total of 5 times by 2 anonymous users","widen, taxonomy",2,5,2,"Jun 14, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 13 times by 1 anonymous user","taxonomy",1,13,1,"Mar 10, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 3 times by 1 anonymous user","taxonomy",1,3,1,"Mar 9, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Mar 7, 2023",,,
"/discover/account/detail/1cdc5e53209577a/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Saint Lawrence School","United States - sls-apps.org","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",1,4,1,"Mar 6, 2023",,,
