"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked"
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 30, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jul 21, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 16, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 10, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 6, 2023",1,1,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 6, 2023",1,,1
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"May 19, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 3 times by 1 anonymous user","digital asset management",1,3,1,"Apr 29, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 8 times by 1 anonymous user","canto",1,8,1,"Apr 6, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",1,1,1,"Mar 17, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Feb 20, 2023",,,
"/discover/account/detail/48da71aedc62b81/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Sandler Training","United States - sandler.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",1,2,1,"Feb 9, 2023",,,
