"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched"
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Aug 2, 2023",,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","2 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/",2,3,1,"Jul 31, 2023",,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","2 pages clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/",2,,1,"Jul 31, 2023",2,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Jul 27, 2023",,1,1
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/about/",1,1,1,"Jul 21, 2023",,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 21, 2023",1,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","4 pages viewed a total of 9 times by 2 Anonymous users","https://tenovos.com/about/, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/why/, https://tenovos.com/",4,9,2,"Jul 20, 2023",,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","4 pages clicked a total of 8 times by 2 Anonymous users","https://tenovos.com/tenovos-partner-network/, https://tenovos.com/, https://tenovos.com/about/, https://tenovos.com/why/",4,,2,"Jul 20, 2023",8,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",,,1,"Jun 26, 2023",,1,1
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",,,1,"Jun 22, 2023",,1,2
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Jun 1, 2023",,1,1
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","4 pages viewed a total of 5 times by 1 Anonymous user","https://tenovos.com/why/, https://tenovos.com/about/, https://tenovos.com/about/#leadership, https://tenovos.com/tenovos-partner-network/",4,5,1,"May 18, 2023",,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","4 pages clicked a total of 9 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/about/#leadership, https://tenovos.com/tenovos-partner-network/, https://tenovos.com/why/",4,,1,"May 18, 2023",9,,
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",,,1,"May 4, 2023",,1,2
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 1 time by 1 anonymous user","lifecycle analytics",,,1,"Apr 24, 2023",,1,1
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Apr 2, 2023",,1,1
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Mar 28, 2023",,1,1
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Mar 14, 2023",,1,1
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset management",,,1,"Feb 21, 2023",,1,1
"/discover/account/detail/3d6f8923c593cdc/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Signature Bank","United States - signatureny.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",,,1,"Feb 8, 2023",,1,2
